cycle;phase;idx;time_ms;iter_mV;ao_V;AI0;AI1;AI2;AI3;AI4;AI5;AI6;AI7;Calc0;Calc1;Calc2;Calc3;Calc4;Calc5;Calc6;Calc7
281;1;0;1807880.855;-1000;-1.000;-0.9990;0.0000;0.2620;0.2440;0.4810;0.0000;0.0000;0.9990;-0.0999;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;0.9990
281;1;1;1808280.826;0;0.001;0.0020;0.0000;0.2330;0.2150;0.4810;-0.0000;0.0000;-0.0020;0.0002;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-0.0020
281;1;2;1808680.917;1000;1.000;1.0000;0.0000;0.2290;0.2130;0.4810;0.0000;0.0000;-1.0010;0.1000;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-1.0010
281;1;3;1808682.137;0;0.000;1.0000;0.0000;0.2290;0.2130;0.4810;0.0000;0.0000;-1.0010;0.1000;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-1.0010
281;2;0;1809081.620;-2000;-1.999;-1.9970;0.0010;0.2090;0.1880;0.4810;-0.0000;0.0000;1.9980;-0.1997;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;1.9980
281;2;1;1809481.676;0;0.001;0.0020;0.0000;0.1740;0.1600;0.4810;0.0000;-0.0000;-0.0020;0.0002;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-0.0020
281;2;2;1809881.649;2000;2.001;2.0010;0.0000;0.1870;0.1680;0.4810;0.0000;0.0000;-2.0030;0.2001;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-2.0030
281;2;3;1809931.681;0;0.000;2.0010;0.0000;0.1870;0.1690;0.4810;0.0000;0.0000;-2.0030;0.2001;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-2.0030
281;3;0;1810381.748;-3000;-3.000;-2.9970;0.0010;0.2050;0.1890;0.4810;0.0000;-0.0000;2.9990;-0.2997;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;2.9990
281;3;1;1810781.760;0;0.001;0.0020;0.0000;0.1370;0.1250;0.4810;0.0000;-0.0000;-0.0020;0.0002;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-0.0020
281;3;2;1811182.312;3000;3.000;2.9990;-0.0000;0.1490;0.1360;0.4810;0.0000;-0.0000;-3.0010;0.2999;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-3.0010
281;3;3;1811231.621;0;0.000;2.9990;-0.0000;0.1670;0.1550;0.4810;0.0000;0.0000;-3.0020;0.2999;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-3.0020
281;4;0;1811681.810;-4000;-3.999;-3.9950;0.0010;0.1740;0.1590;0.4810;0.0000;0.0000;3.9980;-0.3995;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;3.9980
281;4;1;1812081.650;0;0.001;0.0020;0.0010;0.0870;0.0780;0.4810;0.0000;-0.0000;-0.0020;0.0002;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-0.0020
281;4;2;1812481.880;4000;4.001;3.9990;-0.0010;0.1080;0.0990;0.4810;0.0000;0.0000;-4.0020;0.3999;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-4.0020
281;4;3;1812531.853;0;0.000;3.9990;-0.0010;0.1340;0.1280;0.4810;0.0000;0.0000;-4.0020;0.3999;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-4.0020
281;5;0;1813081.713;-5000;-5.000;-5.0000;0.0010;0.1190;0.1140;0.4810;-0.0000;-0.0000;5.0000;-0.5000;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;5.0000
281;5;1;1813481.676;0;0.001;0.0020;0.0000;0.0470;0.0440;0.4810;-0.0000;-0.0000;-0.0020;0.0002;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-0.0020
281;5;2;1813881.836;5000;5.000;4.9980;-0.0010;0.1450;0.0990;0.4810;0.0000;0.0000;-5.0010;0.4998;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-5.0010
281;5;3;1813882.988;0;0.000;4.9980;-0.0010;0.1450;0.0990;0.4810;0.0000;0.0000;-5.0010;0.4998;-50.0000;10.0000;100.0000;0.4810;0.0000;0.0000;-5.0010
